"","imdb_id","title","genres","release_date","release_year","release_month","country","production_companies","budget","revenue","duration","actors","director","main_country"
"2245",231448,"Deuces Wild (2002)","Drama",2002-05-03,"2002","5","United StatesGermany","CineWild;Cinerenta Medienbeteiligungs KG;Eternity Pictures",1e+07,2704682,96,"Stephen Dorff;Brad Renfro;Fairuza Balk;Norman Reedus;Max Perlich;Drea de Matteo;Vincent Pastore;Frankie Muniz;Balthazar Getty;Nancy Cassaro;Matt Dillon;Debbie Harry;James Franco;Joshua Leonard;Alba Albanese;Danny Cistone;Louis Lombardi;Johnny Knoxville","Scott Kalvert","United States"
"2248",282771,"Mystic Masseur, The (2001)","Drama",2002-03-29,"2002","3","United KingdomIndiaTrinidad and TobagoUnited States","Merchant Ivory Productions;Pritish Nandy Communications (PNC);Video Associates",2500000,18550,117,"Om Puri;James Fox;Aasif Mandvi;Albert Laveau;Jimi Mistry;Sanjeev Bhaskar;Ayesha Dharker;Sakina Jaffrey;Zohra Sehgal;Rez Kempton;Lisa Bissoon;Grace Maharaj;Ria Soodeen;Michael Jogee;Sunil Maharaj;Shiraz Mohammed;Anthony Harry Paulsingh;Rajendra Rastogi","Ismail Merchant","United Kingdom"
"2250",102753,"Rambling Rose (1991)","Drama",1991-09-20,"1991","9","United States","Carolco Pictures;Edgar J. Scherick Associates",7500000,314631,112,"Laura Dern;Robert Duvall;Diane Ladd;Lukas Haas;John Heard;Kevin Conway;Robert John Burke;Lisa Jakub;Evan Lockwood;Taylor Sutherland;D. Anthony Pender;David E. Scarborough;Robin Robertson;General Fermon Judd Jr.;Richard K. Olsen;Michael Mott;James Binns;John Ratch Hart","Martha Coolidge","United States"
"2251",86397,"Survivors, The (1983)","Comedy",1983-06-22,"1983","6","United States","Rastar Films",1.2e+07,3044927,103,"Walter Matthau;Robin Williams;Jerry Reed;James Wainwright;Kristen Vigard;Annie McEnroe;Anne Pitoniak;Bernard Barrow;Marian Hailey;Joseph Carberry;Skipp Lynch;Marilyn Cooper;Meg Mundy;Yudie Bank;Michael P. Moran;Norma Pratt;John De Bello;Del Hinkley","Michael Ritchie","United States"
"2253",241760,"New Guy, The (2002)","Comedy",2002-05-10,"2002","5","United States","Revolution Studios;Bedlam Pictures;Frontier Pictures",1.3e+07,9007833,88,"DJ Qualls;Lyle Lovett;Eliza Dushku;Zooey Deschanel;Jerod Mixon;Parry Shen;Eddie Griffin;Sunny Mabrey;Ross Patterson;Matt Gogin;Horatio Sanz;Tony Hawk;Geoffrey Lewis;Charlie O'Connell;Gene Simmons;Tommy Lee;Kool Moe Dee;Jermaine Dupri","Ed Decter","United States"
"2257",247199,"Believer, The (2001)","Drama",2001-08-23,"2001","8","United States","Fuller Films;Seven Arts Productions",1500000,26263,98,"Ryan Gosling;Summer Phoenix;Peter Meadows;Garret Dillahunt;Kris Eivers;Joel Marsh Garland;Billy Zane;Theresa Russell;Jack Drummond;Sig Libowitz;James McCaffrey;Jacob Green;Frank Winters;Ronald Guttman;Heather Goldenhersh;A.D. Miles;Tommy Nohilly;Joshua Harto","Henry Bean","United States"
"2259",77523,"Every Which Way But Loose (1978)","Comedy",1978-12-20,"1978","12","United States","Warner Bros.;The Malpaso Company",5e+06,10272294,114,"Clint Eastwood;Sondra Locke;Geoffrey Lewis;Beverly D'Angelo;Walter Barnes;George Chandler;Roy Jenson;James McEachin;Bill McKinney;William O'Connell;John Quade;Dan Vadis;Gregory Walcott;Hank Worden;Ruth Gordon;Jerry Brutsche;Cary Michael Cheifer;Janet Cole Notey","James Fargo","United States"
"2263",254199,"CQ (2001)","Drama",2002-05-31,"2002","5","FranceItalyLuxembourgUnited States","United Artists;American Zoetrope;Delux Productions",7e+06,54942,88,"Jeremy Davies;Angela Lindvall;Élodie Bouchez;Gérard Depardieu;Giancarlo Giannini;Massimo Ghini;Jason Schwartzman;Billy Zane;John Phillip Law;Silvio Muccino;Dean Stockwell;Natalia Vodianova;Bernard Verley;L.M. Kit Carson;Chris Bearne;Jean-Paul Scarpitta;Nicolas Saada;Remi Fourquin","Roman Coppola","France"
"2264",268690,"Thirteen Conversations About One Thing (a.k.a. 13 Conversations) (2001)","Drama",2002-07-05,"2002","7","United States","Stonelock Pictures;Single Cell Pictures;double A Films",4500000,89499,104,"Alan Arkin;John Turturro;Matthew McConaughey;David Connolly;Joseph Siravo;A.D. Miles;Sig Libowitz;James Yaegashi;Dion Graham;Fernando López;Brian Smiar;Paul Austin;Allie Woods Jr.;Amy Irving;Barbara Sukowa;Rob McElhenney;Avery Glymph;Elizabeth Reaser","Jill Sprecher","United States"
"2266",279493,"Undercover Brother (2002)","Comedy",2002-05-31,"2002","5","United States","Universal Pictures;Imagine Entertainment;Urban Media",2.5e+07,12037685,86,"Eddie Griffin;Denise Richards;Aunjanue Ellis;Chris Kattan;Dave Chappelle;Chi McBride;Neil Patrick Harris;Gary Anthony Williams;Billy Dee Williams;Jack Noseworthy;Robert Trumbull;J.D. Hall;William S. Taylor;Shauna MacDonald;Ron Pardo;Susie Spear Purcell;Jim O'Connor;Dave Pearce","Malcolm D. Lee","United States"
"2267",105219,"Rapid Fire (1992)","Action",1992-08-21,"1992","8","United States","Twentieth Century Fox",1e+07,4815850,95,"Brandon Lee;Powers Boothe;Nick Mancuso;Raymond J. Barry;Kate Hodge;Tzi Ma;Tony Longo;Michael Paul Chan;Dustin Nguyen;Brigitta Stenberg;Basil Wallace;Al Leong;François Chau;Quentin O'Brien;D.J. Howard;Maurice Chasse;Walter Addison;John Vickery","Dwight H. Little","United States"
"2274",238924,"Dangerous Lives of Altar Boys, The (2002)","Drama",2002-06-28,"2002","6","United States","Egg Pictures;Initial Entertainment Group (IEG);Trilogy Entertainment Group",1.2e+07,55000,104,"Kieran Culkin;Jena Malone;Emile Hirsch;Vincent D'Onofrio;Jake Richardson;Tyler Long;Jodie Foster;Arthur Bridgers;Scott Simpson;Melissa McBride;Michael Harding;Chandler McIntyre;Jeffrey West;Yvonne Erickson;Nicky Olson;Carson Pigott;Mark Mench;Kelvin O'Bryant","Peter Care","United States"
"2279",247444,"Juwanna Mann (2002)","Comedy",2002-06-21,"2002","6","United States","Morgan Creek Entertainment;O Entertainment",15600000,5474270,91,"Miguel A. Núñez Jr.;Christopher Simmons;Vivica A. Fox;Kevin Pollak;Tommy Davidson;Kim Wayans;Jenifer Lewis;Ginuwine;Lil' Kim;Annie Corley;Tammi Reiss;Heather Quella;Angie Cossey;Itoro Coleman;Terry Loughlin;Bonnie Johnson;Deanna Dawn;Carol Mitchell-Leon","Jesse Vaughan","United States"
"2282",286179,"Sunshine State (2002)","Drama",2002-07-12,"2002","7","United States","Anarchist's Convention Films;Green/Renzi",5600000,93072,141,"Angela Bassett;Edie Falco;Alex Lewis;Alan King;Cullen Douglas;Clifton James;Eliot Asinof;James McDaniel;Amanda Wing;Timothy Hutton;Perry Lang;Miguel Ferrer;Gordon Clapp;Kyle Meenan;Mary Steenburgen;Jon Coen;James Brower;Bill Cobbs","John Sayles","United States"
"2300",295178,"Austin Powers in Goldmember (2002)","Comedy",2002-07-26,"2002","7","United States","New Line Cinema;Gratitude International;Team Todd",6.3e+07,73071188,94,"Mike Myers;Beyoncé;Seth Green;Michael York;Robert Wagner;Mindy Sterling;Verne Troyer;Michael Caine;Fred Savage;Diane Mizota;Carrie Ann Inaba;Nobu Matsuhisa;Aaron Himelstein;Josh Zuckerman;Eddie Adams;Evan Farmer;Neil Mullarkey;Eric Winzenried","Jay Roach","United States"
"2304",246500,"Who Is Cletis Tout? (2001)","Comedy",2001-12-21,"2001","12","United StatesCanada","Fireworks Entertainment;Itasca Pictures;Nichol Moon Films",9e+06,64867,92,"Christian Slater;Tim Allen;Portia de Rossi;Richard Dreyfuss;Billy Connolly;Peter MacNeill;Bill MacDonald;Richard Chevolleau;Elias Zarou;RuPaul;Joseph Scoren;Eugene Lipinski;Shawn Doyle;Louis Di Bianco;Tony Nappo;Tim Progosh;A.C. Peterson;Danny Lima","Chris Ver Wiel","United States"
"2305",88286,"Top Secret! (1984)","Comedy",1984-06-22,"1984","6","United KingdomUnited States","Kingsmere Properties",9e+06,4406205,90,"Val Kilmer;Omar Sharif;Jeremy Kemp;Warren Clarke;Tristram Jellinek;Billy J. Mitchell;Major Wiley;Gertan Klauber;Richard Mayes;Vyvyan Lorrayne;Nancy Abrahams;Ian McNeice;John Sharp;Lucy Gutteridge;Michael Burlington;Marcus Powell;Louise Yaffe;Charlotte Zucker","Jim Abrahams;David Zucker;Jerry Zucker","United Kingdom"
"2317",255589,"Isle, The (Seom) (2000)","Drama",2000-04-22,"2000","4","South Korea","Myung Films",1e+06,4546,90,"Jung Suh;Yu-seok Kim;Jae-Hyun Cho;Hang-Seon Jang;Min-seok Son;Ji-Seon Han;Jeong-sik Kang;Hye-kyeong Choi;Seon-hwa Jeon;Won Seo;Song Seung-heon;Kim Yeo-jin","Kim Ki-duk","South Korea"
"2322",281322,"Undisputed (2002)","Drama",2002-08-23,"2002","8","United StatesGermanyJapan","A Band Apart;RadicalMedia;Amen Ra Films",2e+07,4548750,96,"Wesley Snipes;Ving Rhames;Peter Falk;Michael Rooker;Jon Seda;Wes Studi;Fisher Stevens;Dayton Callie;Amy Aquino;Johnny Williams;Joe D'Angerio;Nils Allen Stewart;Denis Arndt;Jim Lampley;Ed Lover;Master P;Silkk the Shocker;C-Murder","Walter Hill","United States"
"2326",90966,"Down and Out in Beverly Hills (1986)","Comedy",1986-01-31,"1986","1","United States","Touchstone Films;Silver Screen Partners II",1.4e+07,5726495,103,"Nick Nolte;Bette Midler;Richard Dreyfuss;Little Richard;Tracy Nelson;Elizabeth Peña;Evan Richards;Mike the Dog;Donald F. Muhich;Paul Mazursky;Valerie Curtin;Jack Bruskoff;Geraldine Dreyfuss;Barry Primus;Irene Tsu;Michael Yama;Ranbir Bahi;Felton Perry","Paul Mazursky","United States"
"2328",83336,"Wolfen (1981)","Horror",1981-07-24,"1981","7","United States","Orion Pictures;King-Hitzig Productions",1.7e+07,3037911,115,"Albert Finney;Diane Venora;Edward James Olmos;Gregory Hines;Tom Noonan;Dick O'Neill;Dehl Berti;Peter Michael Goetz;Sam Gray;Ralph Bell;Max M. Brown;Anne Marie Pohtamo;Sarah Felder;Reginald VelJohnson;James Tolkan;John McCurry;Chris Manor;Donald Symington","Michael Wadleigh","United States"
"2330",103125,"True Colors (1991)","Drama",1991-03-15,"1991","3","United States","Paramount Pictures",2e+07,59517,111,"John Cusack;James Spader;Imogen Stubbs;Mandy Patinkin;Richard Widmark;Dina Merrill;Philip Bosco;Paul Guilfoyle;Brad Sullivan;Russell Dennis Baker;Don McManus;Karen Jablons-Alexander;Wendee Pratt;Rende Rae Norman;Frank Hoyt Taylor;Anthony Fusco;Bev Appleton;Mary Mara","Herbert Ross","United States"
"2332",283026,"Swimfan (2002)","Thriller",2002-09-06,"2002","9","United States","Twentieth Century Fox;GreeneStreet Films;Cobalt Media Group",1e+07,11326601,85,"Jesse Bradford;Erika Christensen;Shiri Appleby;Kate Burton;Clayne Crawford;Jason Ritter;Kia Goodwin;Dan Hedaya;Michael Higgins;Nick Sandow;Pamela Isaacs;James DeBello;Phyllis Somerville;Tom Cappadona;Malcolm Barrett;Ken Triwush;Peter Hermann;John Knox","John Polson","United States"
"2333",309521,"Dogwalker, The (2002)","Drama",2002-03-03,"2002","3","United States","Bigfoot Entertainment;Filmmakers Alliance",425000,4726,99,"Diane Gaidry;Pamela Gordon;Lyn Vaus;Lisa Jane Persky;Alan Gelfant;John Nielsen;Kerry Bishop;Alan Desatti;Linda L. Miller;Willow Atkinson;Warren Davis;John Cato;David Diaan;Jerry Rapp;Frankie Como","Jacques Thelemaque","United States"
"2334",87507,"Johnny Dangerously (1984)","Comedy",1984-12-21,"1984","12","United States","Edgewood Productions;Twentieth Century Fox",9e+06,2947746,90,"Michael Keaton;Joe Piscopo;Marilu Henner;Maureen Stapleton;Peter Boyle;Griffin Dunne;Glynnis O'Connor;Dom DeLuise;Richard Dimitri;Danny DeVito;Ron Carey;Ray Walston;Dick Butkus;Byron Thames;Alan Hale Jr.;Scott Thomson;Sudie Bond;Mark Jantzen","Amy Heckerling","United States"
"2335",303714,"Barbershop (2002)","Comedy",2002-09-13,"2002","9","United States","Metro-Goldwyn-Mayer (MGM);State Street Pictures;Cube Vision",1.2e+07,20627433,102,"Ice Cube;Cedric the Entertainer;Eve;Anthony Anderson;Sean Patrick Thomas;Troy Garity;Michael Ealy;Leonard Earl Howze;Keith David;Jazsmin Lewis;Lahmard J. Tate;Tom Wright;Jason George;DeRay Davis;Sonya Eddy;Saralynne Crittenden;Jasmine Randle;Naomi Young Armstrong","Tim Story","United States"
"2339",106315,"Aspen Extreme (1993)","Action",1993-01-22,"1993","1","United States","Hollywood Pictures;Touchwood Pacific Partners 1",1.4e+07,3342613,113,"Paul Gross;Peter Berg;Finola Hughes;Teri Polo;William Russ;Trevor Eve;Martin Kemp;Stewart Finlay-McLennan;Tony Griffin;Julie Royer;Patrick T. Johnson;William McNamara;Gary Eimiller;Andy Mill;Bill Ferrell;Catherine Parks;Karla Souza;Valerie Kingston","Patrick Hasburgh","United States"
"2341",99512,"Ernest Goes to Jail (1990)","Comedy",1990-04-06,"1990","4","United States","Touchstone Pictures;Silver Screen Partners IV",9e+06,6143372,81,"Jim Varney;Gailard Sartain;Bill Byrge;Barbara Tyson;Barry Scott;Randall 'Tex' Cobb;Dan Leegant;Charles Napier;Jim Conrad;Jackie Welch;Melanie Wheeler;Jeffrey Buckner Ford;Daniel Butler;Charlie Lamb;Mac Bennett;Rick Schulman;Bruce Arntson;Andy Stahl","John R. Cherry III","United States"
"2342",101821,"Ernest Scared Stupid (1991)","Comedy",1991-10-11,"1991","10","United States","Touchstone Pictures;Touchwood Pacific Partners 1",9600000,4453132,91,"Jim Varney;Eartha Kitt;Austin Nagler;Shay Astar;Jonas Moscartolo;John Cadenhead;Bill Byrge;Richard Woolf;Nick Victory;Alec Klapper;Steven Moriyon;Daniel Butler;Esther Huston;Larry Black;Denice Hicks;Melanie Wheeler;Jackie Welch;Mark Delabarre","John R. Cherry III","United States"
"2345",171685,"Ratcatcher (1999)","Drama",1999-11-12,"1999","11","United KingdomFrance","Pathé Pictures International;BBC Films;Arts Council of England",30000,10762,94,"Tommy Flanagan;Mandy Matthews;William Eadie;Michelle Stewart;Lynne Ramsay Jr.;Leanne Mullen;John Miller;Jackie Quinn;James Ramsay;Anne McLean;Craig Bonar;Andrew McKenna;Mick Maharg;James Montgomery;Thomas McTaggart;Stewart Gordon;Stephen Sloan;Molly Innes","Lynne Ramsay","United Kingdom"
"2355",285487,"Crazy as Hell (2002)","Drama",2002-02-06,"2002","2","United States","Humble Journey Films;Loose Screw Films",1800000,13341,113,"Michael Beach;Ronny Cox;Sinbad;Jane Carr;Shelley Robertson;Khylan Jones;Twink Caplan;John C. McGinley;David Backus;Matthew A. Thomas;William Bassett;Jim Ortlieb;Roberta Keith;Tom Everett;Ray Xifo;Tracy Pettit;Eriq La Salle;Tia Texada","Eriq La Salle","United States"
"2359",246677,"Heaven (2002)","Drama",2002-02-21,"2002","2","United KingdomFranceItalyGermanyUnited States","Miramax;X-Filme Creative Pool;Mirage Enterprises",1.1e+07,51909,97,"Cate Blanchett;Giovanni Ribisi;Remo Girone;Stefania Rocca;Alessandro Sperduti;Mattia Sbragia;Stefano Santospago;Alberto Di Stasio;Giovanni Vettorazzo;Gianfranco Barra;Vincent Riotta;Mauro Marino;Stefania Orsola Garello;Fausto Lombardi;Giorgia Coppa;Julienne Liberto;Matilde De Sanctis;Roberto D'Alessandro","Tom Tykwer","United Kingdom"
"2360",265307,"Man from Elysian Fields, The (2001)","Drama",2002-11-28,"2002","11","United States","CineSon Entertainment;Fireworks Pictures;Gold Circle Films",6500000,46353,106,"Andy Garcia;Mick Jagger;Julianna Margulies;Olivia Williams;James Coburn;Michael Des Barres;Richard Bradford;Anjelica Huston;Xander Berkeley;Sherman Howard;Joe Santos;Susan Barnes;Tracey Walter;Ashaa Siewkumar;Kerry Li;Laura Meshell;Rosalind Chao;Elisa Gallay","George Hickenlooper","United States"
"2362",95649,"Moderns, The (1988)","Drama",1988-05-01,"1988","5","United States","Nelson Entertainment;Alive Films;Nelson Entertainment",3500000,20283,126,"Keith Carradine;Linda Fiorentino;Wallace Shawn;Geneviève Bujold;Geraldine Chaplin;Kevin J. O'Connor;John Lone;Charlélie Couture;Elsa Raven;Ali Giron;Gailard Sartain;Michael Wilson;Robert Gould;Antonia Dauphin;Véronique Bellegarde;Isabel Serra;David Stein;Hubert Loiselle","Alan Rudolph","United States"
"2363",95895,"Powaqqatsi (1988)","Documentary",1988-06-02,"1988","6","United States","Golan-Globus Productions;NorthSouth;Santa Fe Institute for Regional Education",2500000,27899,99,"Christie Brinkley;David Brinkley;Patrick Disanto;Pope John Paul II;Dan Rather;Cheryl Tiegs","Godfrey Reggio","United States"
"2365",86373,"Strange Brew (1983)","Comedy",1983-08-26,"1983","8","CanadaUnited States","Metro-Goldwyn-Mayer (MGM)",4e+06,1913389,90,"Rick Moranis;Dave Thomas;Max von Sydow;Paul Dooley;Lynne Griffin;Angus MacInnes;Tom Harvey;Douglas Campbell;Brian McConnachie;Len Doncheff;Jill Frappier;David Beard;Thick Wilson;Robert Windsor;Sid Lynas;Ron James;Dora Dainton;David Clement","Rick Moranis;Dave Thomas","Canada"
"2366",84049,"Hanky Panky (1982)","Comedy",1982-06-04,"1982","6","United States","Columbia Pictures",1.4e+07,3597244,110,"Gene Wilder;Gilda Radner;Kathleen Quinlan;Richard Widmark;Robert Prosky;Josef Sommer;Johnny Sekka;Jay O. Sanders;Sam Gray;Larry Bryggman;Pat Corley;Johnny Brown;Bill Beutel;Nat Habib;James Tolkan;James Greene;Jay Garner;Stephen D. Newman","Sidney Poitier","United States"
"2367",276816,"Below (2002)","Horror",2002-10-18,"2002","10","United StatesUnited Kingdom","Dimension Films;Protozoa Pictures",4e+07,201431,105,"Bruce Greenwood;David Crow;Matthew Davis;Holt McCallany;Dexter Fletcher;Nick Chinlund;Olivia Williams;Scott Foley;Andrew Howard;Christopher Fairbank;Chuck Ellsworth;Crispin Layfield;Jonathan Hartman;Sebastian Knapp;Max Casali;Alexis Conran;Jason Flemyng;Matthew Leitch","David Twohy","United States"
"2368",297037,"Brown Sugar (2002)","Romance",2002-10-11,"2002","10","United States","Searchlight Pictures;Evergreen Productions;Heller Highwater Productions",8e+06,10738882,109,"Taye Diggs;Sanaa Lathan;Yasiin Bey;Nicole Ari Parker;Boris Kodjoe;Queen Latifah;Wendell Pierce;Erik Weiner;Reg Wyns;Melissa Martinez;Aaliyyah Hill;Marc John Jefferies;Venida Evans;Breece Wilson;Brette Taylor;Donna Duplantier;Rosalyn Coleman;Robin T. Kirksey","Rick Famuyiwa","United States"
"2371",283139,"White Oleander (2002)","Drama",2002-10-11,"2002","10","United States","Warner Bros.;Gaylord Films;John Wells Productions",1.6e+07,5607480,109,"Michelle Pfeiffer;Renée Zellweger;Robin Wright;Alison Lohman;Amy Aquino;John Billingsley;Elisa Bocanegra;Darlene Bohorquez;Solomon Burke Jr.;Scott Allan Campbell;Sam Catlin;Debra Christofferson;Billy Connolly;Marc Donato;Svetlana Efremova;Patrick Fugit;Vernon Haas;Sean Happy","Peter Kosminsky","United States"
"2372",310793,"Bowling for Columbine (2002)","Documentary",2002-11-15,"2002","11","United StatesCanadaGermany","United Artists;Alliance Atlantis Communications;Salter Street Films International",4e+06,209148,120,"Michael Moore;Charlton Heston;Marilyn Manson;Salvador Allende;Mike Bradley;Arthur A. Busch;George Bush;George W. Bush;Michael Caldwell;Richard Castaldo;Dick Clark;Bill Clinton;Steve Davis;Ngo Dinh Diem;Mike Epstein;Joe Farmer;Denny Fennell;Barry Glassner","Michael Moore","United States"
"2379",252480,"Grey Zone, The (2001)","Drama",2001-11-30,"2001","11","United States","Killer Films;Martien Holdings A.V.V.;Millennium Films",5e+06,24526,108,"David Arquette;Velizar Binev;David Chandler;Michael Stuhlbarg;George Zlatarev;Dimitar Ivanov;Daniel Benzali;Allan Corduner;Steve Buscemi;Harvey Keitel;Henry Stram;Kamelia Grigorova;Lisa Benavides-Nelson;Shirly Brener;Mira Sorvino;Natasha Lyonne;Dafina Katzarraska;Donka Avramova","Tim Blake Nelson","United States"
"2380",145937,"Naqoyqatsi (2002)","Documentary",2003-01-21,"2003","1","United States","Miramax;Qatsi Productions",3e+06,17154,89,"Belladonna;Marlon Brando;Elton John;Julia Louis-Dreyfus;Madonna;Bhagwan Mirchandani;Jack Shamblin;Steven Soderbergh;Troy Aikman;The Beatles;Osama bin Laden;Fidel Castro;Warren Christopher;Bill Clinton;The Dalai Lama;Thomas A. Edison;Albert Einstein;Adolf Hitler","Godfrey Reggio","United States"
"2391",82334,"Entity, The (1981)","Horror",1983-02-04,"1983","2","United States","American Cinema Productions",9e+06,3685654,125,"Barbara Hershey;Ron Silver;David Labiosa;George Coe;Margaret Blye;Jacqueline Brookes;Richard Brestoff;Michael Alldredge;Raymond Singer;Allan Rich;Natasha Ryan;Melanie Gaffin;Alex Rocco;Sully Boyar;Tom Stern;Curt Lowens;Paula Victor;Lee Wilkof","Sidney J. Furie","United States"
"2394",82648,"Legend of the Lone Ranger, The (1981)","Western",1981-05-22,"1981","5","United States","Eaves Movie Ranch;Incorporated Television Company (ITC);Wrather Productions",1.8e+07,2945600,98,"Klinton Spilsbury;Michael Horse;Christopher Lloyd;Matt Clark;Juanin Clay;Jason Robards;John Bennett Perry;David Hayward;John Hart;Richard Farnsworth;Lincoln Tate;Theodore J. Flicker;Marc Gilpin;Patrick Montoya;David Bennett;Rick Traeger;James Bowman;Kit Wong","William A. Fraker","United States"
"2395",82801,"Neighbors (1981)","Comedy",1981-12-18,"1981","12","United States","Columbia Pictures",8500000,6481386,94,"John Belushi;Dan Aykroyd;Kathryn Walker;Cathy Moriarty;Igors Gavon;Dru-Ann Chuckran;Tim Kazurinsky;Tino Insana;P.L. Brown;Henry Judd Baker;Lauren-Marie Taylor;Sherman G. Lloyd;Bert Kittel;J.B. Friend;Bernie Friedman;Edward S. Kotkin;Michael Manoogian;Dale Two Eagles","John G. Avildsen","United States"
"2397",288477,"Ghost Ship (2002)","Horror",2002-10-25,"2002","10","United StatesAustralia","Warner Bros.;Village Roadshow Pictures;NPV Entertainment",2e+07,11503423,91,"Julianna Margulies;Gabriel Byrne;Ron Eldard;Desmond Harrington;Isaiah Washington;Alex Dimitriades;Karl Urban;Emily Browning;Francesca Rettondini;Boris Brkic;Bob Ruggiero;Iain Gardiner;Adam Bieshaar;Cameron Watt;Jamie Giddens;Matthew Wollaston","Steve Beck","United States"
"2400",286261,"All or Nothing (2002)","Drama",2002-10-18,"2002","10","United KingdomFrance","Les Films Alain Sarde;Thin Man Films",9e+06,25890,128,"Timothy Spall;Lesley Manville;Ruth Sheen;Alison Garland;Jean Ainslie;Badi Uzzaman;Parvez Qadir;Russell Mabey;Thomas Brown-Lowe;Oliver Golding;Henri McCarthy;Ben Wattley;Paul Jesson;Gary McDonald;Diveen Henry;Leo Bill;Peter Stockbridge;Brian Bovell","Mike Leigh","United Kingdom"
"2407",210382,"Weight of Water, The (2000)","Thriller",2002-07-31,"2002","7","United StatesCanadaFrance","StudioCanal;Manifest Film Company;Palomar Pictures (II)",1.6e+07,45888,114,"Catherine McCormack;Sean Penn;Sarah Polley;Elizabeth Hurley;Ciarán Hinds;Richard Donat;Ulrich Thomsen;Anders W. Berthelsen;Murdoch MacDonald;Joseph Rutten;John Walf;Katrin Cartlidge;Vinessa Shaw;Adam Curry;Josh Lucas;John Maclaren;Rita Kvist;Jan Tore Kristoffersen","Kathryn Bigelow","United States"
"2409",298203,"8 Mile (2002)","Drama",2002-11-08,"2002","11","United StatesGermany","Imagine Entertainment;Mikona Productions GmbH & Co. KG",4.1e+07,51240555,110,"Eminem;Brittany Murphy;Kim Basinger;Mekhi Phifer;Evan Jones;Omar Benson Miller;De'Angelo Wilson;Eugene Byrd;Taryn Manning;Larry Hudson;Proof;Mike Bell;DJ Head;Michael Shannon;Chloe Greenfield;Mary Hannigan;Anthony Mackie;Strike","Curtis Hanson","United States"
"2415",308411,"Interview with the Assassin (2002)","Drama",2002-05-09,"2002","5","United States","Interview Productions;Magnolia Pictures",750000,10497,88,"Dylan Haggerty;Raymond J. Barry;Renee Faia;Kelsy Kemper;Dennis Lau;Sonny Franks;Jared McVay;Christel Khalil;Lillias White;Kate Williamson;Jack Tate;Nicolas Mize;James Hiser;Darrell Sandeen;Evan O'Meara;Robert Thompson;Jimmy Burke;Eileen Rogers","Neil Burger","United States"
"2416",312841,"Way Home, The (Jibeuro) (2002)","Drama",2002-04-05,"2002","4","South Korea","CJ Entertainment;Tube Entertainment",2e+06,29737,80,"Yoo Seung-ho;Eul-boon Kim;Hyo-hee Dong;Kyung-hyun Min;Eun-kyung Yim","Jeong-hyang Lee","South Korea"
"2420",82969,"Raggedy Man (1981)","Drama",1981-09-18,"1981","9","United States","Universal Pictures",9e+06,287081,94,"Sissy Spacek;Eric Roberts;Sam Shepard;William Sanderson;Tracey Walter;R.G. Armstrong;Henry Thomas;Carey Hollis Jr.;Ed Geldart;Bill Thurman;Suzi McLaughlin;Lupe Juárez;Jessie Lee Fulton;LuBelle Camp;James N. Harrell;Lee Wackerhagen;Dave Davis;Desmond Dhooge","Jack Fisk","United States"
"2421",83006,"Rollover (1981)","Drama",1981-12-11,"1981","12","United States","IPC Films",1.6e+07,2260689,116,"Jane Fonda;Kris Kristofferson;Hume Cronyn;Josef Sommer;Bob Gunton;Macon McCalman;Ron Frazier;Jodi Long;Crocker Nevin;Marvin Chatinover;Ira Wheeler;Paul Hecht;Norman Snow;Nelly Hoyos;Lansdale Chatfield;Sally Sockwell;Martha Plimpton;Gaby Glatzer","Alan J. Pakula","United States"
"2424",253586,"Revolution #9 (2001)","Thriller",2001-04-22,"2001","4","United States","Rockville Pictures;cineBLAST! Productions",3e+05,4936,90,"Michael Risley;Adrienne Shelly;Spalding Gray;Callie Thorne;Michael Rodrick;Sakina Jaffrey;Jase Blankfort;Kristin Griffith;Jonathan Hogan;Ted Sutton;James Burton;David Deblinger;Claire Beckman;Armand Schultz;Phyllis Somerville;Mark Zeisler;Mary Elaine Monti;Anthony Arkin","Tim McCann","United States"
"2426",283530,"The Emperor's Club (2002)","Drama",2002-11-22,"2002","11","United States","Beacon Communications;Fine Line Features;Horsepower Films",12500000,3846780,109,"Kevin Kline;Emile Hirsch;Joel Gretsch;Embeth Davidtz;Rob Morrow;Edward Herrmann;Harris Yulin;Paul Dano;Rishi Mehta;Jesse Eisenberg;Gabriel Millman;Chris Morales;Luca Bigini;Michael Coppola;Sean Fredricks;Katherine O'Sullivan;Melissa Brown;Sophie Wise","Michael Hoffman","United States"
"2427",293815,"Friday After Next (2002)","Comedy",2002-11-22,"2002","11","United States","Avery Pix;Cube Vision;New Line Cinema",1e+07,13010767,85,"Ice Cube;Mike Epps;John Witherspoon;Don 'D.C.' Curry;Anna Maria Horsford;Clifton Powell;K.D. Aubert;Bebe Drake;Katt Williams;Rickey Smiley;Terry Crews;Maz Jobrani;Reggie Gaskins;Joel McKinnon Miller;Brian Stepanek;Angela Bowie;Dolores Sheen;Sommore","Marcus Raboy","United States"
